kalenderId;luftfeuchtigkeit;klavierstimmungVorher;klavierstimmungNachher;resonanzboden;stege;saiten;stimmwirbel;stimmstock;hammerkoepfe;mechanik;daempfer;tastatur;oberflaeche;rahmen;anmerkungen;oertlichkeit;transport;nacharbeit;zahlungsart;kostenvoranschlag
8402;65;440;442; ;;;;;;;;;;;;;;;Bar bezahlt;false
8406;;443;443; ;;;;;;;;;;;;;;;;false
8461;;438;440; ;;Eigenschwebungen;;;eingespielt;;;;;;;;;;Bar bezahlt;false
8467;;438;440; ;;Eigenschwebungen;;;;;;;;;;;;;;false
8511;;;; ;;;;;;;;;;;;;;;;false
8521;;438;441; ;;;;;;Auslösung eingestellt;Dämpfung gekröpft;;;;;;;Pedalstange gefeilt und geseift;Bar bezahlt;false
8584;;440;442Hz; ;;;;;;;;;;;;;;;Rechnung;false
8587;;439;440; ;;leichte Eigenschwebungen;;;leicht eingespielt;regulationsbedürftig;;;;;;;;;Bar bezahlt;false
8631;;;; ;;;;;;;;;;;;;;;;false
8642;;442;443; ;;;;;sehr hart;;;;;;;;;;Bar bezahlt;false
8646;;;440Hz; ;;;;;;;;;;;Pedal wieder eingestellt und fixiert;;;;Rechnung;false
8658;;;; ;;;;;;;;;;;;;;;;false
8821;;441;441; ;;;;;;;;;;;;;;;Bar bezahlt;false
8827;;;; ;;;;;;;;;;;;;;;;false
8880;;;; ;;;;;;;;;;;;;;;;false
8883;;;; ;;;;;;;;;;;;;;;;false
8887;;;; ;;;;;;;;;;;;;;;;false
8888;;;; ;;;;;;;;;;;;;;;;false
9012;;;; ;;;;;;;;;;;;;;;;false
9113;;;; 1 Riß;;1.900,--;;;800,-- NB;1.480,--G.S;600,--BN;Garnierung -;;;Gesamt € 5.960,--;;400,--;;;false
9172;;;; ;;;;;;;;;;;;;;;;false
9251;;;; ;;;;;;;;;;;;;;;;false
9378;;;; ;;;;;;;;;;;;;;;;false
9420;;;; ;;;;;;;;;;;;;;;;false
9482;;;; ;;;;;;;;;;;;;;;;false
9540;;;; ;;;;;;;;;;;;;;;;false
9665;;;; ;;;;;;;;;;;;;;;;false
9722;;440;440; ;;;;;;;;;;;Schlüssel war nicht der Richtige, muss aus Messing sein! Beim nächsten Mal verschiedene Schlüssel aus Messing mitnehmen!Stimmung war im Diskant sehr tief!;;;;;false
9726;;442;442; ;;;;;;;;;;;Wieder Alles ok, Kunde ist zufrieden!;;;;;false
9731;;;; ;;;;;;;;;;;;;;;;false
9779;;;; 1240;;1900;;;;1860;;480;;;;;600;800;;false
